Keys,Русский
magic_inspec_031,
magic_inspec_032,
magic_inspec_033,
ring_name_000,Pierced Shield Ring
ring_name_001,Broken Sword Ring
ring_name_002,Steel Shield Ring
ring_name_003,Eternal Sword Ring
ring_name_004,Noctarogar's Ring
ring_name_005,Kiabass Ring
ring_name_006,Immortal Plant Ring
ring_name_007,Blood Plant Ring
ring_name_008,Cleric Ring
ring_name_009,Conformity Ring
ring_name_010,Tough Scale Ring
ring_name_011,Flaming Scale Ring
ring_name_012,Frozen Scale Ring
ring_name_013,Electric Scale Ring
ring_name_014,Poison Scale Ring
ring_name_015,Bloody Scale Ring
ring_name_016,Black Scale Ring
ring_name_017,Golden Pantheon Ring
ring_name_018,Four-Leaf Clover Ring
ring_name_019,Magical Aid Ring
ring_name_020,Desire Ring
ring_name_021,Scholar Ring
ring_name_022,Relentless Magician Ring
ring_name_023,Shiny Crystal Ring
ring_name_024,Star Ring
ring_name_025,Samurai Ring
ring_name_026,Oni Ring
ring_name_027,Flaming Serpent Ring
ring_name_028,Frozen Serpent Ring
ring_name_029,Electric Serpent Ring
ring_name_030,Venomous Snake Ring
ring_name_031,Blood Serpent Ring
ring_name_032,Black Serpent Ring
ring_name_033,Barbarian's Ring
ring_name_034,Scoundrel Ring
ring_name_035,Alchemist's Ring
ring_name_036,Knight's Ring
ring_name_037,Explorer's Ring
ring_name_038,Motivation Ring
ring_name_039,Swordsman's Art Ring
ring_name_040,Virtue Art Ring
ring_name_041,War Art Ring
ring_name_042,Vuikur's Ring
ring_name_043,Shooter Ring
ring_name_044,Fighter Ring
ring_name_045,Cat Ring
ring_name_046,Ornunddu Blessing Ring
ring_name_047,Phoenix Ring
ring_name_048,Ghost Ring
ring_name_049,Camouflage Ring
ring_name_050,Penalty Ring
ring_name_051,Fugitive Ring
ring_name_052,Discernment Ring
ring_name_053,Restoration Ring
ring_name_054,Killer Defense Ring
ring_name_055,Killer Strength Ring
ring_name_056,Falon Bubble Ring
ring_name_057,Leap Ring
ring_name_058,Burden Ring
ring_desc_000,Increases damage negation when HP is low.
ring_desc_001,Increases damage when HP is low.
ring_desc_002,Increases damage negation when HP is full.
ring_desc_003,Increases damage when HP is full.
ring_desc_004,Increases maximum HP.
ring_desc_005,Increases maximum MP.
ring_desc_006,Restores HP gradually.
ring_desc_007,Restores HP when defeating enemies.
ring_desc_008,Improves HP and MP restored by the chalice.
ring_desc_009,Improves stats but increases damage received.
ring_desc_010,Improves physical damage negation.
ring_desc_011,Improves flame damage negation.
ring_desc_012,Improves freezing damage negation.
ring_desc_013,Improves electrical damage negation.
ring_desc_014,Improves poison damage negation.
ring_desc_015,Improves bleeding damage negation.
ring_desc_016,Improves darkness damage negation.
ring_desc_017,Increases blessing.
ring_desc_018,Increases blood gained from defeating enemies.
ring_desc_019,Improves support spells.
ring_desc_020,Increases the duration of support spells.
ring_desc_021,Improves attack spells.
ring_desc_022,Greatly improves attack spells.
ring_desc_023,Spells are executed more quickly.
ring_desc_024,Reduces the MP consumption of spells.
ring_desc_025,Increases damage negation when bleeding is nearby.
ring_desc_026,Increases attack when bleeding is nearby.
ring_desc_027,"Increases flames damage, but decreases flames damage negation."
ring_desc_028,"Increases freezing damage, but decreases freezing damage negation."
ring_desc_029,"Increases electrical damage, but decreases electrical damage negation."
ring_desc_030,"Increases poison damage, but decreases poison damage negation."
ring_desc_031,"Increases bleeding chance, but decreases bleeding damage negation."
ring_desc_032,"Increases darkness damage, but decreases darkness damage negation."
ring_desc_033,Increases strength.
ring_desc_034,Increases dexterity.
ring_desc_035,Increases momentum.
ring_desc_036,Increases stamina.
ring_desc_037,Increases luck.
ring_desc_038,Increases the damage of the first attack.
ring_desc_039,Increases the damage of consecutive attacks.
ring_desc_040,Restores HP with consecutive attacks.
ring_desc_041,Increases the damage of heavy attacks.
ring_desc_042,Increases the damage of attacks in the air.
ring_desc_043,Increases the damage of long-range weapons.
ring_desc_044,Increases bare-handed damage.
ring_desc_045,Enemies detect you with more difficulty.
ring_desc_046,"Blood is not lost when you die, but the ring breaks."
ring_desc_047,"When you die, you rebirth exploding everything around you. Only works once."
ring_desc_048,Turns into a ghost for a brief moment and comes back to life after dying.
ring_desc_049,Becomes intangible after standing still for a while.
ring_desc_050,"Enemies nearby become slower, but you lose a little HP for each enemy affected."
ring_desc_051,Becomes immune to any hits for a while after taking a great damage.
ring_desc_052,Hidden paths become more evident.
ring_desc_053,Restores a little the duration of effects when defeating enemies.
ring_desc_054,"Each enemy defeated generates a damage negation buildup, but the buildup decreases over time."
ring_desc_055,"Each enemy defeated generates a strength buildup, but the buildup decreases over time."
ring_desc_056,A bubble is created around you as a shield.
ring_desc_057,Increases the height reached by jumping.
ring_desc_058,Decreases all damage negations.
ring_inspec_000,
ring_inspec_001,
ring_inspec_002,
ring_inspec_003,
ring_inspec_004,
ring_inspec_005,
ring_inspec_006,
ring_inspec_007,
ring_inspec_008,
ring_inspec_009,
ring_inspec_010,
ring_inspec_011,
ring_inspec_012,
ring_inspec_013,
ring_inspec_014,
ring_inspec_015,
ring_inspec_016,
ring_inspec_017,
ring_inspec_018,
ring_inspec_019,
ring_inspec_020,
ring_inspec_021,
ring_inspec_022,
ring_inspec_023,
ring_inspec_024,
ring_inspec_025,
ring_inspec_026,
ring_inspec_027,
ring_inspec_028,
ring_inspec_029,
ring_inspec_030,
ring_inspec_031,
ring_inspec_032,
ring_inspec_033,
ring_inspec_034,
ring_inspec_035,
ring_inspec_036,
ring_inspec_037,
ring_inspec_038,
ring_inspec_039,
ring_inspec_040,
ring_inspec_041,
ring_inspec_042,
ring_inspec_043,
ring_inspec_044,
ring_inspec_045,
ring_inspec_046,
ring_inspec_047,
ring_inspec_048,
ring_inspec_049,
ring_inspec_050,
ring_inspec_051,
ring_inspec_052,
ring_inspec_053,
ring_inspec_054,
ring_inspec_055,
ring_inspec_056,
ring_inspec_057,
ring_inspec_058,
knowledge_name_000,Letter of a Old Hell Adventurer
knowledge_name_001,"Single sheet of ""The Ice of the Fourth Tier"""
knowledge_name_002,"Second page of ""The grass of the First Tier"""
knowledge_name_003,"Fifteenth page of ""The grass of the First Tier"""
knowledge_desc_000,A Letter written by an adventurer a long time ago.
knowledge_desc_001,"A single sheet from the 1st volume of the series ""Hell explained"" by Connor Sant'Anna."
knowledge_desc_002,"Second page of the fifth volume of the series ""Hell explained"" by Connor Sant'Anna."
knowledge_desc_003,"Fifteenth page of the fifth volume of the series "" Hell Explained"" by Connor Sant'Anna."
knowledge_inspec_000,"The sheet is extremely old and worn, but still perfectly legible:[n]""Hello, next adventurer, I'm glad you've also found this area, near this letter there is a purple totem. It is able to restore your vigor and cure any illness by resting near it and believing in its gift."""
knowledge_inspec_001,"The sheet is burnt, but it is possible to read part of it:[n]""...Due to its distance from the center of hell, being extremely cold and icy, it is almost impossible to survive without great preparation, such as warmer clothes and fires, for example. However, it wasn't always like this, the Fifth Layer was once the hottest of all, and had a king, the King of the Underground, Drensriel, who soon after winning his title, betrayed Mounds by trying to kill him to become the King of Hell. However, he was clearly defeated, Mounds is ruthless, there is no beating him... So the fifth layer has been moved as far away from the center as possible, as a way of showing that Mounds will show no mercy to anyone who goes against him..."""
knowledge_inspec_002,"The sheet is torn and a little bit burnt, but still legible.[n]""...With his powers, Mounds creates a great flowery field, more than 500 billion kilometers long, in an attempt to imitate his old home, The Heavens. But the attempt failed in the blink of an eye. Mounds, furious, yells so loudly that the entire field is brutally burnt. The flowers, turned to ash. Trees, melted into lava. Flawed animals, turned into heaps of rotting flesh..."""
knowledge_inspec_003,"The leaves are torn and a little burnt, but still legible.[n]""...His disciples, Doalpus and Alreeis, finished the construction. Finally, after 134 years, it was erected and ready to demonstrate the power and architecture of hell, Moundzian Castle, the domain of Mounds... In the castle's laboratory, Mounds and his disciples created, from the blood of Mounds and a female mammal, Mounds' maiden, Astrina... Once married, Mounds and Astrina had 4 children, called the first demonic beings, who, when they came of age, were given the title of Demon Leaders..."""
bes_name_n000,Weak body
bes_name_n001,Demonic Barbarian
bes_name_n002,"Eldaron, the Lost Golem"
bes_desc_n000,"A dead warrior, who due his honorable death in battle, has a body. However, were cruel in life, his everlast sentence is now fight forever against his equals, as a memory of his last moments of life, feeling every pain and the burden of causing so much suffering in life as.[n][n]Due the new dictatorship of Mounds, all the dead are now gradually growing stronger and becoming demons. Therefore, when they complete the transformation, they will be part of the army of Mounds in the attack to the Human Realm."
bes_desc_n001,"A huge and muscular dead warrior, killed in battle, so he keeps his body even in hell. However, for every place he passed, he caused desgrace. Now, forever, he will suffer in battles, remembering of his last moments of life and suffering his burden of the torments that caused in life.[n][n]Due the new dictatorship of Mounds, all the dead are now gradually growing stronger and becoming demons. Therefore, when they complete the transformation, they will be part of the army of Mounds in the attack to the Human Realm."
bes_desc_n002,"A golem forged from volcanic stones and magic that fought in the First Demon War. They usually use very powerful hammers or large flaming axes.[n][n]Eldaron, in a battle in the war, ended up getting lost, falling into the abandoned Fourth Layer of hell and was never found."
bes_type_n000,Demidemon
bes_type_n001,Flaming War Golem - Boss
dialogue_op_000,Purchase items
dialogue_op_001,Sell items
dialogue_op_002,Talk
npc_name_000,Gustav
npc_name_001,Grumyin
npc_name_002,Randalya
npc_name_003,Palagard
npc_000_dialogue_000,Hello friend.
npc_000_dialogue_001,How it's going?
npc_000_dialogue_002,I'm... a merchant... What do you want?
npc_000_dialogue_003,Me? haha...
npc_000_dialogue_004,I'm nothing but a merchant.
npc_000_dialogue_005,I failed my family and...
npc_000_dialogue_006,Now I live alone selling goods.
npc_000_dialogue_007,I'm glad you're back!
npc_000_dialogue_008,What do you want?
npc_001_dialogue_000,"Hey hey hey! Take it easy, boy."
npc_001_dialogue_001,You are not dead...
npc_001_dialogue_002,"You are another one of those who came here because of that annoying witch, are not you?"
npc_001_dialogue_003,"If so, go ahead!"
npc_001_dialogue_004,"Try once more, die once more... Be reborn once more."
npc_001_dialogue_005,ah...
npc_001_dialogue_006,"What are you so much planning, witch?"
npc_001_dialogue_007,"Try once more, die once more... Be reborn once more."
npc_001_dialogue_008,ah...
npc_001_dialogue_009,"What are you so much planning, witch?"
npc_002_dialogue_000,You've finally woken up.
npc_002_dialogue_001,"I'm Randalya, I saved you from that flaming monster."
npc_002_dialogue_002,"I guess you've met those purple totems, haven't you? I'm afraid the one next to that demon has already broken..."
npc_002_dialogue_003,"Those totems are called Cinder Totems, they are totems of worship that, when you rest on them and believe in their power, they restore your vigor and any tribulation in your body, as well as being able to increase your strength, store your luggage and transfer you to other totems you've already found."
npc_002_dialogue_004,Your current equipment has been well worn out due to your arrival in hell. On the second floor of this building you will find a room with some equipment.
npc_002_dialogue_005,"But remember that it's not only you who will need equipment, choose just one of each peace. Other warriors have recently arrived in hell, more warriors than usual, even..."
npc_002_dialogue_006,This building is home to others like me who can help you whenever you need it.
npc_002_dialogue_007,That's all I have to say.
npc_002_dialogue_008,May Moygo's blessing be with you.
intro_dialogue_000,"Ah, dear brother..."
intro_dialogue_001,You have already done so much for me... I ask you to offer me your help once again.
intro_dialogue_002,"I imagine you have heard about Mounds, the Demon King, the fallen celestial being."
intro_dialogue_003,"From my rituals, I discovered that he himself is preparing to invade the Earth, the realm of the living"
intro_dialogue_004,"To dominate it, and then ascend to heaven again and become the supreme god."
intro_dialogue_005,"Nothing good will come of it, my brother. He will spread disgrace throughout the world, misery and suffering."
intro_dialogue_006,"Therefore I ask, Massaru. You are the only one that I trust of body and soul to be able to face him, and then, defeat him."
intro_dialogue_007,"Through my witchcraft, I send you to hell."
intro_dialogue_008,Whatever it takes.
intro_dialogue_009,You will kill him army...
intro_dialogue_010,You will kill Mounds.
help_no_tutorial,You haven't unlocked[n]this tutorial yet.
help_title_000,Menu: Character Info
help_title_001,Menu: Equipament
help_title_002,Menu: Inventory
help_title_003,Menu: Bestiary
help_text_000,"In the Character Info menu, you can check your status, level, attributes, attack power and more.[n][n]The information here reflects on your attacks and your damage negation against various types of damage, such that it can be increased by the armor and weapons you equip."
help_text_001,"In the Equipment menu, you can equip weapons, armor, rings, gems and items.[n][n]Each piece of equipment in each category changes Massaru's strength in different ways. Weapons increase your attack power, armors increase your damage negation, rings and accessories grant you effects, gems grant effects to your weapon. All your equipment can give you other effects, such as a weapon giving you some effect, even if that's not its main function. The bag makes it easier for you to access items in your inventory."
help_text_002,"In my Inventory, you can check all the items you own.[n][n]You can use them, generating some kind of gain or loss, depending on the item. Equip them, so you don't have to go to the Equipment menu to equip the item you want. Even discard them, if you no longer want an item in your inventory, but bear in mind that doing so will discard all the items you have of that type, that is, discarding an item that you have 10 amounts of, for example, will cause all 10 of your amounts to be discarded."
help_text_003,"In the Bestiary menu, you can check out all the monsters you've encountered so far.[n][n]Here you can find out more about the monsters, their names, types, history, HP and attack power, damage negation and how many times you've defeated them."
class_no_class,Without class
class_knight,Knight
class_northern_pilgrim,Northern Pilgrim
class_ronin,Ronin
class_rogue,Rogue
class_templar,Templar
class_wizard,Wizard
class_profaned,Profaned
class_convict,Convict
testers_text_000,"Hello tester, how are you? This map was made to test all the mechanics of Hell's Voyager so far.[n]Commands you may need:[n]B key: Reset the game;[n]F4 key: Activate FPS real, Date, time and game time;[n]F3: Activate hit box and game infos."
testers_text_001,"Please understand that the game is ""empty"" because I've only focused on the game menus so far! But from now on I'm focusing on gameplay, equipment, maps and enemies.[n]Most of the weapons and armor are missing their images, animations and descriptions because I haven't worked on them yet (the only one that already has a move set is the Worn Bastard Sword, but it hasn't been properly finalized). I'm focusing first on adding new things that are more important to the game's progress, such as maps, enemies, npcs, etc."
