Keys,Українська
magic_name_001,Pyromantic Combustion
magic_name_002,Вогняна куля
magic_name_003,Вогняна стіна
magic_name_004,Блискавка
magic_name_005,Отруйний плювок
magic_name_006,Bloody Chase
magic_name_007,Темний вибух
magic_name_008,Huoko's Strength
magic_name_009,Explendid Huoko's Strength
magic_name_010,Huoko's Fortitude
magic_name_011,Noctarogar's Blessing
magic_name_012,Kiabass' Blessing
magic_name_013,Feared Entity Darkness
magic_name_014,Дротик ночі
magic_name_015,Великий дротик ночі
magic_name_016,Night Spiral
magic_name_017,Велика стріла ночі
magic_name_018,Кулі ночі
magic_name_019,Порожнеча ночі
magic_name_020,Велика порожнеча ночі
magic_name_021,Меч ночі
magic_name_022,Великий різак ночі
magic_name_023,Крижаний кіл
magic_name_024,Крижані кристали
magic_name_025,Крижані кулі
magic_name_026,Крижаний вибух
magic_name_027,Крижаний лук
magic_name_028,Night Constellation
magic_name_029,Піромантія Фалона
magic_name_030,Вогонь Фалона
magic_name_031,Крига Фалона
magic_name_032,Блискавка Фалона
magic_name_033,Кров Фалона
magic_desc_000,Spread pyromancy on the ground.
magic_desc_001,Casts a pyromantic explosion.
magic_desc_002,Throws a flaming ball.
magic_desc_003,Throws columns of fire.
magic_desc_004,Throws a lightning bolt.
magic_desc_005,Expels poison from your mouth.
magic_desc_006,Conjures a smoke of blood that chase enemies.
magic_desc_007,Casts orbs of darkness that chase enemies.
magic_desc_008,Increases attack power.
magic_desc_009,Greatly increases attack power.
magic_desc_010,Improve all the damage negations.
magic_desc_011,Gradually restores HP.
magic_desc_012,Increases the damage of magics and decreases their MP cost.
magic_desc_013,"Hits the ground 3 times, exploding everything around with darkness."
magic_desc_014,
magic_desc_015,
magic_desc_016,
magic_desc_017,
magic_desc_018,
magic_desc_019,
magic_desc_020,
magic_desc_021,
magic_desc_022,
magic_desc_023,
magic_desc_024,Throws an ice stake.
magic_desc_025,Throws sharp ice crystals.
magic_desc_026,
magic_desc_027,
magic_desc_028,Imbues night magic on the equipped weapon in the other hand.
magic_desc_029,Imbues pyromancy on the equipped weapon in the other hand.
magic_desc_030,Imbues fire on the equipped weapon in the other hand.
magic_desc_031,Imbues freezing on the equipped weapon in the other hand.
magic_desc_032,Imbues electricity on the equipped weapon in the other hand.
magic_desc_033,Imbues bleeding on the equipped weapon in the other hand.
magic_inspec_000,
magic_inspec_001,
magic_inspec_002,
magic_inspec_003,
magic_inspec_004,
magic_inspec_005,
magic_inspec_006,
magic_inspec_007,
magic_inspec_008,
magic_inspec_009,
magic_inspec_010,
magic_inspec_011,
magic_inspec_012,
magic_inspec_013,
magic_inspec_014,
magic_inspec_015,
magic_inspec_016,
magic_inspec_017,
magic_inspec_018,
magic_inspec_019,
magic_inspec_020,
magic_inspec_021,
magic_inspec_022,
magic_inspec_023,
magic_inspec_024,
magic_inspec_025,
magic_inspec_026,
magic_inspec_027,
magic_inspec_028,
magic_inspec_029,
magic_inspec_030,
magic_inspec_031,
magic_inspec_032,
magic_inspec_033,
ring_name_000,Pierced Shield Ring
ring_name_001,Кільце зламаного меча
ring_name_002,Кільце сталевого щита
ring_name_003,Eternal Sword Ring
ring_name_004,Noctarogar's Ring
ring_name_005,Kiabass Ring
ring_name_006,Immortal Plant Ring
ring_name_007,Кільце кривавої рослини
ring_name_008,Кільце клірика
ring_name_009,Conformity Ring
ring_name_010,Tough Scale Ring
ring_name_011,Вогняне лускате кільце
ring_name_012,Крижане лускате кільце
ring_name_013,Електричне лускате кільце
ring_name_014,Отруйне лускате кільце
ring_name_015,Криваве лускате кільце
ring_name_016,Чорне лускате кільце
ring_name_017,Golden Pantheon Ring
ring_name_018,Кільце з чотирилистою конюшиною
ring_name_019,Кільце магічної допомоги
ring_name_020,Кільце бажання
ring_name_021,Кільце вченого
ring_name_022,Relentless Magician Ring
ring_name_023,Блискуче кришталеве кільце
ring_name_024,Кільце зірки
ring_name_025,Кільце самурая
ring_name_026,Кільце Оні
ring_name_027,Кільце вогняної змії
ring_name_028,Кільце кришталевої змії
ring_name_029,Кільце електричної змії
ring_name_030,Кільце отруйної змії
ring_name_031,Кільце кривавої змії
ring_name_032,Кільце чорної змії
ring_name_033,Кільце варвара
ring_name_034,Кільце розбійника
ring_name_035,Кільце алхіміка
ring_name_036,Кільце лицаря
ring_name_037,Кільце мандрівника
ring_name_038,Кільце мотивації
ring_name_039,Кільце мистецтв мечника
ring_name_040,Кільце мистецтв доброчесності
ring_name_041,Кільце мистецтв війни
ring_name_042,Vuikur's Ring
ring_name_043,Shooter Ring
ring_name_044,Fighter Ring
ring_name_045,Кільце кішки
ring_name_046,Ornunddu Blessing Ring
ring_name_047,Phoenix Ring
ring_name_048,Кільце привида
ring_name_049,Кільце камуфляжу
ring_name_050,Кільце покарання
ring_name_051,Fugitive Ring
ring_name_052,Discernment Ring
ring_name_053,Кільце відновлення
ring_name_054,Killer Defense Ring
ring_name_055,Killer Strength Ring
ring_name_056,Falon Bubble Ring
ring_name_057,Кільце стрибку
ring_name_058,Burden Ring
ring_desc_000,"Збільшує захист від усіх видів шкоди, коли ОЗ знаходяться на низькому рівні."
ring_desc_001,Збільшує шкоду коли залишається мало ОЗ.
ring_desc_002,Increases damage negation when HP is full.
ring_desc_003,Збільшує шкоду коли ОЗ повні.
ring_desc_004,Збільшує максимальні ОЗ.
ring_desc_005,Збільшує максимальні ОМ.
ring_desc_006,Повільно відновлює ОЗ.
ring_desc_007,Відновлює ОЗ при вбивстві ворогів.
ring_desc_008,Збільшує кількість відновлюваних ОМ та ОЗ чашою.
ring_desc_009,"Збільшує характеристики, але збільшує шкоду яку ви отримуєте."
ring_desc_010,Збільшує захист від фізичних шкод.
ring_desc_011,Збільшує захист від вогняних шкод.
ring_desc_012,Збільшує захист від крижаних шкод.
ring_desc_013,Збільшує захист від електричних шкод.
ring_desc_014,Збільшує захист від отруєння.
ring_desc_015,Збільшує захист від кровотечі.
ring_desc_016,Збільшує захист від темної шкоди.
ring_desc_017,Збільшує Освячення.
ring_desc_018,Збільшує кількість крові яку ви отримуєте із вбитих ворогів.
ring_desc_019,Покращує чари підтримки.
ring_desc_020,Збільшує тривалість чар підтримки.
ring_desc_021,Покращую чари атаки.
ring_desc_022,Дуже сильно покращує чари атак.
ring_desc_023,Чари будуть викликатися швидше.
ring_desc_024,Зменшує використання ОМ чарами.
ring_desc_025,Increases damage negation when bleeding is nearby.
ring_desc_026,Increases attack when bleeding is nearby.
ring_desc_027,"Increases flames damage, but decreases flames damage negation."
ring_desc_028,"Increases freezing damage, but decreases freezing damage negation."
ring_desc_029,"Increases electrical damage, but decreases electrical damage negation."
ring_desc_030,"Increases poison damage, but decreases poison damage negation."
ring_desc_031,"Increases bleeding chance, but decreases bleeding damage negation."
ring_desc_032,"Increases darkness damage, but decreases darkness damage negation."
ring_desc_033,Збільшує силу.
ring_desc_034,Збільшує спритність.
ring_desc_035,Increases momentum.
ring_desc_036,Збільшує витривалість.
ring_desc_037,Increases luck.
ring_desc_038,Збільшує шкоду від першої атаки.
ring_desc_039,Increases the damage of consecutive attacks.
ring_desc_040,Відновлює ОЗ з кожною атакою.
ring_desc_041,Збільшує шкоду важких атак.
ring_desc_042,Збільшує шкоду атак у повітрі.
ring_desc_043,Increases the damage of long-range weapons.
ring_desc_044,Increases bare-handed damage.
ring_desc_045,Enemies detect you with more difficulty.
ring_desc_046,"Blood is not lost when you die, but the ring breaks."
ring_desc_047,"When you die, you rebirth exploding everything around you. Only works once."
ring_desc_048,Turns into a ghost for a brief moment and comes back to life after dying.
ring_desc_049,Becomes intangible after standing still for a while.
ring_desc_050,"Enemies nearby become slower, but you lose a little HP for each enemy affected."
ring_desc_051,Becomes immune to any hits for a while after taking a great damage.
ring_desc_052,Приховані шляхи стають більш помітними.
ring_desc_053,Restores a little the duration of effects when defeating enemies.
ring_desc_054,"Each enemy defeated generates a damage negation buildup, but the buildup decreases over time."
ring_desc_055,"Each enemy defeated generates a strength buildup, but the buildup decreases over time."
ring_desc_056,Створює бульбашку-щит довкола вас.
ring_desc_057,Збільшує висоту стрибків.
ring_desc_058,Збільшує захист від усіх типів шкод.
ring_inspec_000,
ring_inspec_001,
ring_inspec_002,
ring_inspec_003,
ring_inspec_004,
ring_inspec_005,
ring_inspec_006,
ring_inspec_007,
ring_inspec_008,
ring_inspec_009,
ring_inspec_010,
ring_inspec_011,
ring_inspec_012,
ring_inspec_013,
ring_inspec_014,
ring_inspec_015,
ring_inspec_016,
ring_inspec_017,
ring_inspec_018,
ring_inspec_019,
ring_inspec_020,
ring_inspec_021,
ring_inspec_022,
ring_inspec_023,
ring_inspec_024,
ring_inspec_025,
ring_inspec_026,
ring_inspec_027,
ring_inspec_028,
ring_inspec_029,
ring_inspec_030,
ring_inspec_031,
ring_inspec_032,
ring_inspec_033,
ring_inspec_034,
ring_inspec_035,
ring_inspec_036,
ring_inspec_037,
ring_inspec_038,
ring_inspec_039,
ring_inspec_040,
ring_inspec_041,
ring_inspec_042,
ring_inspec_043,
ring_inspec_044,
ring_inspec_045,
ring_inspec_046,
ring_inspec_047,
ring_inspec_048,
ring_inspec_049,
ring_inspec_050,
ring_inspec_051,
ring_inspec_052,
ring_inspec_053,
ring_inspec_054,
ring_inspec_055,
ring_inspec_056,
ring_inspec_057,
ring_inspec_058,
knowledge_name_000,Letter of a Old Hell Adventurer
knowledge_name_001,"Single sheet of ""The Ice of the Fourth Tier"""
knowledge_name_002,"Second page of ""The grass of the First Tier"""
knowledge_name_003,"Fifteenth page of ""The grass of the First Tier"""
knowledge_desc_000,A Letter written by an adventurer a long time ago.
knowledge_desc_001,"A single sheet from the 1st volume of the series ""Hell explained"" by Connor Sant'Anna."
knowledge_desc_002,"Second page of the fifth volume of the series ""Hell explained"" by Connor Sant'Anna."
knowledge_desc_003,"Fifteenth page of the fifth volume of the series "" Hell Explained"" by Connor Sant'Anna."
knowledge_inspec_000,"The sheet is extremely old and worn, but still perfectly legible:[n]""Hello, next adventurer, I'm glad you've also found this area, near this letter there is a purple totem. It is able to restore your vigor and cure any illness by resting near it and believing in its gift.”"
knowledge_inspec_001,"The sheet is burnt, but it is possible to read part of it:[n]""...Due to its distance from the center of hell, being extremely cold and icy, it is almost impossible to survive without great preparation, such as warmer clothes and fires, for example. However, it wasn't always like this, the Fifth Layer was once the hottest of all, and had a king, the King of the Underground, Drensriel, who soon after winning his title, betrayed Mounds by trying to kill him to become the King of Hell. However, he was clearly defeated, Mounds is ruthless, there is no beating him... So the fifth layer has been moved as far away from the center as possible, as a way of showing that Mounds will show no mercy to anyone who goes against him..."""
knowledge_inspec_002,"The sheet is torn and a little bit burnt, but still legible.[n]""...With his powers, Mounds creates a great flowery field, more than 500 billion kilometers long, in an attempt to imitate his old home, The Heavens. But the attempt failed in the blink of an eye. Mounds, furious, yells so loudly that the entire field is brutally burnt. The flowers, turned to ash. Trees, melted into lava. Flawed animals, turned into heaps of rotting flesh..."""
knowledge_inspec_003,"The leaves are torn and a little burnt, but still legible.[n]""...His disciples, Doalpus and Alreeis, finished the construction. Finally, after 134 years, it was erected and ready to demonstrate the power and architecture of hell, Moundzian Castle, the domain of Mounds... In the castle's laboratory, Mounds and his disciples created, from the blood of Mounds and a female mammal, Mounds' maiden, Astrina... Once married, Mounds and Astrina had 4 children, called the first demonic beings, who, when they came of age, were given the title of Demon Leaders..."""
bes_name_n000,Слабке тіло
bes_name_n001,Демонічний варвар
bes_name_n002,"Елдарон, загублений голем"
bes_name_n003,Blood Skin Gargoyle
bes_name_n004,Old Guard Demon
bes_name_n005,"Eldaron, the Lost Golem"
bes_name_n006,"Mohal, the Draconic Watcher"
bes_name_n007,"Qmimb, the Incarnate Darkness"
bes_name_n008,"Gramands, the Frozen Gate Guardian"
bes_desc_n000,"A dead warrior, who due his honorable death in battle, has a body. However, were cruel in life, his everlast sentence is now fight forever against his equals, as a memory of his last moments of life, feeling every pain and the burden of causing so much suffering in life as.[n][n]Due the new dictatorship of Mounds, all the dead are now gradually growing stronger and becoming demons. Therefore, when they complete the transformation, they will be part of the army of Mounds in the attack to the Human Realm."
bes_desc_n001,"A huge and muscular dead warrior, killed in battle, so he keeps his body even in hell. However, for every place he passed, he caused desgrace. Now, forever, he will suffer in battles, remembering of his last moments of life and suffering his burden of the torments that caused in life.[n][n]Due the new dictatorship of Mounds, all the dead are now gradually growing stronger and becoming demons. Therefore, when they complete the transformation, they will be part of the army of Mounds in the attack to the Human Realm."
bes_desc_n002,"A golem forged from volcanic stones and magic that fought in the First Demon War. They usually use very powerful hammers or large flaming axes.[n][n]Eldaron, in a battle in the war, ended up getting lost, falling into the abandoned Fourth Layer of hell and was never found."
bes_desc_n003,"An annoying little Pure Demon capable of throwing fireballs. After killing their prey, they suck their blood to feed, just as certain insects from the Human Realm do.[n][n]These annoying creatures are the most distant type of pure demon from the Mounds bloodline, but still close compared to the Behegunes."
bes_desc_n004,
bes_desc_n005,"A golem forged from volcanic stones and magic that fought in the First Demon War. They usually use very powerful hammers or large flaming axes.[n][n]Eldaron, in a battle in the war, ended up getting lost, falling into the abandoned Fourth Layer of hell and was never found."
bes_desc_n006,
bes_desc_n007,
bes_desc_n008,
bes_type_n000,Полудемон
bes_type_n001,Вогняний Голем Війни — Бос
dialogue_op_000,Купити предмети
dialogue_op_001,Продати предмети
dialogue_op_002,Говорити
npc_name_000,Густав
npc_name_001,Грум'їн
npc_name_002,Рандалія
npc_name_003,Палагард
npc_000_dialogue_000,"Вітаю, друже."
npc_000_dialogue_001,Як ся маєш?
npc_000_dialogue_002,Я... крамар. Чого бажаєш?
npc_000_dialogue_003,Я? Хах...
npc_000_dialogue_004,Я ніхто інший як крамар.
npc_000_dialogue_005,I failed familly and...
npc_000_dialogue_006,Тепер я живу один і продаю товари.
npc_000_dialogue_007,"Ох, ти повернувся!"
npc_000_dialogue_008,What do you want?
npc_001_dialogue_000,"Hey hey hey! Calm down, sirrah."
npc_001_dialogue_001,Thou are not dead...
npc_001_dialogue_002,"Thou are another one of those whom came hither because of that annoying warlock, are not thou?"
npc_001_dialogue_003,"If so, hie ahead!"
npc_001_dialogue_004,"try once moe, die once moe.  Be reborn once moe."
npc_001_dialogue_005,"ah... What are thou so much planning, warlock?"
npc_001_dialogue_006,"try once moe, die once moe.  Be reborn once moe."
npc_001_dialogue_007,"ah... What are thou so much planning, warlock?"
npc_002_dialogue_000,Thou have finally woken up.
npc_002_dialogue_001,"I am Randalya, I saved thou from that flaming monster."
npc_002_dialogue_002,"I guess thou have met those purple totems, have not thou? I am afeard the one next to that demon hath already broken..."
npc_002_dialogue_003,"Those totems are called cinder totems, they are totems of worship that, when thou rest on 'em and receive in their power, they restore thy vigor and any tribulation in thy corporal agent, as well as being able to increase thy strength, market thy luggage and transfer thou to other totems thou've already found."
npc_002_dialogue_004,thy current equipment hath been well worn out due to thy arrival in hell. Towards the second floor of this building thou shall find a room with some equipment.
npc_002_dialogue_005,"Yet remember that 'tis not only thou whom shall want equipment, choose just one of each peace. Other warriors hast recently arrived in hell, moe warriors than usual, e'en."
npc_002_dialogue_006,this building is home to others like me whom can help thou whenever thou want it.
npc_002_dialogue_007,that's all I hast to say.
npc_002_dialogue_008,May Moygo's benison be with thou.
intro_dialogue_000,"Ах, дорогий брате..."
intro_dialogue_001,Thou hast already done so much for me... I bid thou to offer me thy help once again.
intro_dialogue_002,"I imagine thou hast known about Mounds, the Demon King, the Fallen Celestial Being."
intro_dialogue_003,"From mine rituals, I discovered that he himself is preparing to invade the Earth, the realm of the living"
intro_dialogue_004,"To dominate it, and then ascend to heaven again and become the supreme god."
intro_dialogue_005,"Nought good shall join of it, mine brother. He shall spread disgrace throughout the world, woe and suffering."
intro_dialogue_006,"Argal I bid, Massaru. Thou are the only one that I trust of body and soul to be able to brow him, and then, defeat him."
intro_dialogue_007,"Through mine witchcraft, I send thou to hell."
intro_dialogue_008,Whatever it takes.
intro_dialogue_009,Thou shall kill him power...
intro_dialogue_010,Thou shall kill mounds.
help_no_tutorial,You haven't unlocked[n]this tutorial yet.
help_title_000,Меню: Інформація про персонажа
help_title_001,Меню: Екіпіровка
help_title_002,Меню: Інвентар
help_title_003,Меню: Бестіарій
help_text_000,"In the Character Info menu, you can check your status, level, attributes, attack power and more.[n][n]The information here reflects on your attacks and your damage negation against various types of damage, such that it can be increased by the armor and weapons you equip."
help_text_001,"In the Equipment menu, you can equip weapons, armor, rings, gems and items.[n][n]Each piece of equipment in each category changes Massaru's strength in different ways. Weapons increase your attack power, armors increase your damage negation, rings and accessories grant you effects, gems grant effects to your weapon. All your equipment can give you other effects, such as a weapon giving you some effect, even if that's not its main function. The bag makes it easier for you to access items in your inventory."
help_text_002,"In my Inventory, you can check all the items you own.[n][n]You can use them, generating some kind of gain or loss, depending on the item. Equip them, so you don't have to go to the Equipment menu to equip the item you want. Even discard them, if you no longer want an item in your inventory, but bear in mind that doing so will discard all the items you have of that type, that is, discarding an item that you have 10 amounts of, for example, will cause all 10 of your amounts to be discarded."
help_text_003,"In the Bestiary menu, you can check out all the monsters you've encountered so far.[n][n]Here you can find out more about the monsters, their names, types, history, HP and attack power, damage negation and how many times you've defeated them."
class_no_class,Немає класу
class_knight,Лицар
class_northern_pilgrim,Northern Pilgrim
class_ronin,Ronin
class_rogue,Rogue
class_templar,Templar
class_wizard,Чародій
class_profaned,Profaned
class_convict,Convict
